ts,run_id,prompt_id,run_mode,scenario,event,event_group,level,node,span_type,step_id,step_index,tool_name,attempt,status,overall_status,termination_reason,latency_ms,tokens_in,tokens_out,cost_usd,context_hits,tool_results_count,failure_count_run_so_far,error_type,error_message,failure_category,failure_severity,recovered,trace_id,span_id,parent_id,hard_gate_constraint_completeness,hard_gate_no_fabricated_real_time_facts,hard_gate_link_validity_format,hard_gate_calendar_export_correctness,hard_gate_safety_clarity_disclaimer,rubric_relevance,rubric_feasibility,rubric_completeness,rubric_specificity,rubric_coherence,span_module,span_message,span_kind,span_step_title,ts_parsed
2026-02-17T20:43:30.073703+00:00,mix-001,,,,step_selected,planning,INFO,orchestrator,tool_span,cdf42891-381b-47ef-9b50-de90e82428a7,,,,ok,,,,,,,,,,,,,,,mix-001,step_selected-f4c512682b72,cdf42891-381b-47ef-9b50-de90e82428a7,,,,,,,,,,,ai_travel_agent.agents.nodes.orchestrator,Step selected: Get things-to-do discovery links,normal,Get things-to-do discovery links,2026-02-17 20:43:30.073703+00:00
2026-02-17T20:43:30.073908+00:00,mix-001,,,,node_exit,workflow,INFO,orchestrator,tool_span,cdf42891-381b-47ef-9b50-de90e82428a7,,,,ok,,,0.22,,,,,,,,,,,,mix-001,node_exit-41c4283878f5,cdf42891-381b-47ef-9b50-de90e82428a7,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Get things-to-do discovery links,2026-02-17 20:43:30.073908+00:00
2026-02-17T20:43:30.074102+00:00,mix-001,,,,node_enter,workflow,INFO,executor,tool_span,cdf42891-381b-47ef-9b50-de90e82428a7,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-bdb66da9f6d7,cdf42891-381b-47ef-9b50-de90e82428a7,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,Get things-to-do discovery links,2026-02-17 20:43:30.074102+00:00
2026-02-17T20:43:30.074635+00:00,mix-001,,,,tool_result,tool,INFO,executor,tool_span,cdf42891-381b-47ef-9b50-de90e82428a7,,things_to_do_links,1.0,ok,,,0.01,,,,,,,,,,,,mix-001,tool_result-e69f7b033c4a,cdf42891-381b-47ef-9b50-de90e82428a7,,,,,,,,,,,ai_travel_agent.agents.nodes.executor,Tool call completed,normal,Get things-to-do discovery links,2026-02-17 20:43:30.074635+00:00
2026-02-17T20:43:30.074860+00:00,mix-001,,,,node_exit,workflow,INFO,executor,tool_span,cdf42891-381b-47ef-9b50-de90e82428a7,,,,ok,,,0.71,,,,,,,,,,,,mix-001,node_exit-44454897a7a1,cdf42891-381b-47ef-9b50-de90e82428a7,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Get things-to-do discovery links,2026-02-17 20:43:30.074860+00:00
2026-02-17T20:43:30.075059+00:00,mix-001,,,,node_enter,workflow,INFO,evaluate_step,tool_span,cdf42891-381b-47ef-9b50-de90e82428a7,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-88f08e9aaa50,cdf42891-381b-47ef-9b50-de90e82428a7,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,Get things-to-do discovery links,2026-02-17 20:43:30.075059+00:00
2026-02-17T20:43:30.075104+00:00,mix-001,,,,eval_step,eval,INFO,evaluate_step,evaluation_span,cdf42891-381b-47ef-9b50-de90e82428a7,,,,ok,,,,,,,,,,,,,,,mix-001,eval_step-0d05c5b9ca40,cdf42891-381b-47ef-9b50-de90e82428a7,,,,,,,,,,,ai_travel_agent.agents.nodes.evaluator,Step evaluated,normal,Get things-to-do discovery links,2026-02-17 20:43:30.075104+00:00
2026-02-17T20:43:30.075161+00:00,mix-001,,,,node_exit,workflow,INFO,evaluate_step,tool_span,cdf42891-381b-47ef-9b50-de90e82428a7,,,,ok,,,0.06,,,,,,,,,,,,mix-001,node_exit-274413d300e4,cdf42891-381b-47ef-9b50-de90e82428a7,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node exit,normal,Get things-to-do discovery links,2026-02-17 20:43:30.075161+00:00
2026-02-17T20:43:30.075287+00:00,mix-001,,,,node_enter,workflow,INFO,orchestrator,tool_span,cdf42891-381b-47ef-9b50-de90e82428a7,,,,ok,,,,,,,,,,,,,,,mix-001,node_enter-ad6ebfb87ec3,cdf42891-381b-47ef-9b50-de90e82428a7,,,,,,,,,,,ai_travel_agent.agents.nodes.utils,Node enter,normal,Get things-to-do discovery links,2026-02-17 20:43:30.075287+00:00
2026-02-17T20:43:30.075332+00:00,mix-001,,,,step_selected,planning,INFO,orchestrator,tool_span,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,ok,,,,,,,,,,,,,,,mix-001,step_selected-2a9c3e86a84f,1e3455e0-9eb2-465e-8498-ffbdcf1e5f2c,,,,,,,,,,,ai_travel_agent.agents.nodes.orchestrator,Step selected: Get hotel search links,normal,Get hotel search links,2026-02-17 20:43:30.075332+00:00
